,alt,az,airmass,moonRA,moonDec,moonSep,fieldID,objType,magnitude,mjdExpStart,risen,scheduled,observable
13,-23.587494397735497,264.8247901401784,-2.4990690087795615,291.18716094453686,-26.16450869072627,94.51606684757796,BD-15 3482,bright star,2.95,59418.278385,False,False,True
14,-27.37165844025217,267.14205745139395,-2.1750451663851202,291.3165584313246,-26.14722625392533,94.6307389819613,BD-15 3482,bright star,2.95,59418.290885,False,False,True
15,-31.163527327686975,269.5241284214374,-1.9324328459437092,291.4467097472617,-26.127560346213826,94.74688688000464,BD-15 3482,bright star,2.95,59418.303385,False,False,True
16,-34.95666429989939,272.00093625394976,-1.7453325691748518,291.57802729714376,-26.10554873937828,94.86484885364288,BD-15 3482,bright star,2.95,59418.315885,False,False,True
17,-38.743836433113415,274.6088315284903,-1.597853576826562,291.7109149182046,-26.081242456423507,94.98495089427485,BD-15 3482,bright star,2.95,59418.328385,False,False,True
18,-42.51655274986697,277.3931733761516,-1.4797207697803951,291.84576518116444,-26.054705336472065,95.10750455813141,BD-15 3482,bright star,2.95,59418.340885,False,False,True
19,-46.26440478818479,280.4120189123216,-1.3840106488609347,291.9829568013039,-26.026013495593244,95.23280497556694,BD-15 3482,bright star,2.95,59418.353385,False,False,True
20,-49.97409137293672,283.7414477470107,-1.3059029257192354,292.12285217131006,-25.995254692022673,95.3611289901434,BD-15 3482,bright star,2.95,59418.365885,False,False,True
21,-53.62793281385462,287.4832971078549,-1.2419536847810269,292.26579506083243,-25.962527602498053,95.49273346245339,BD-15 3482,bright star,2.95,59418.378385,False,False,True
22,-57.20155181848583,291.77632700476534,-1.1896529577138435,292.41210848308987,-25.927941021391145,95.62785373513564,BD-15 3482,bright star,2.95,59418.390885,False,False,True
23,-60.66019502847426,296.8117963385771,-1.1471454025759256,292.562092756662,-25.891612991560635,95.76670227921706,BD-15 3482,bright star,2.95,59418.403385,False,False,True
24,-63.95289156304919,302.8530588914098,-1.1130486629915322,292.7160237575994,-25.85366988011746,95.9094675147192,BD-15 3482,bright star,2.95,59418.415885,False,False,True
25,-67.00346106558213,310.25283368863325,-1.086332524467839,292.8741513944484,-25.81424540824429,96.05631282977475,BD-15 3482,bright star,2.95,59418.428385,False,False,True
26,-69.69811566868331,319.4431421039779,-1.0662373009699202,293.03669830191393,-25.773479647571214,96.20737579214428,BD-15 3482,bright star,2.95,59418.440885,False,False,True
27,-71.87369103691985,330.83055085795826,-1.052218471732012,293.20385874517046,-25.731517995444538,96.3627675432509,BD-15 3482,bright star,2.95,59418.453385,False,False,True
28,-73.32291575269711,344.4918431390753,-1.043909604746792,293.37579775944704,-25.688510138232722,96.52257239451976,BD-15 3482,bright star,2.95,59418.465885,False,False,True
0,17.487515896091463,225.54205513923003,3.327809300735682,289.3877771541074,-26.179786003291344,88.80218048221494,BD-22 3401,bright star,2.65,59418.115885,True,False,False
1,14.706464815288872,228.73095527423766,3.9390691854087536,289.54369973498956,-26.190811846631288,88.92354941070434,BD-22 3401,bright star,2.65,59418.128385,True,False,False
2,11.789896629172798,231.74633577172497,4.894201123439579,289.69549884083875,-26.200159582929803,89.04222003057798,BD-22 3401,bright star,2.65,59418.140885,True,False,False
3,8.752944775374681,234.60246311337966,6.571416877336335,289.84345120087795,-26.207706555713713,89.15848044268627,BD-22 3401,bright star,2.65,59418.153385,True,False,False
4,5.6091940855586016,237.3140573954333,10.230953574463536,289.9878579606298,-26.213338974133425,89.27263418672437,BD-22 3401,bright star,2.65,59418.165885,True,False,False
5,2.3707802431740768,239.89588620714105,24.17437575842134,290.12904291859576,-26.216952801045647,89.38499835867523,BD-22 3401,bright star,2.65,59418.178385,True,False,False
6,-0.9514851603507288,242.3625206777364,-60.219975535393516,290.26735057432165,-26.218454579237015,89.49590161618174,BD-22 3401,bright star,2.65,59418.190885,False,False,True
7,-4.347978426532615,244.7282208486917,-13.190223830239441,290.4031439815023,-26.217762185830694,89.60568207084843,BD-22 3401,bright star,2.65,59418.203385,False,False,True
8,-7.810125851339576,247.00692383883478,-7.358857230700137,290.53680243594766,-26.2148055041675,89.71468509521803,BD-22 3401,bright star,2.65,59418.215885,False,False,True
9,-11.33026957641278,249.2123158859531,-5.089986396411416,290.66871899811724,-26.209527004923924,89.82326104729401,BD-22 3401,bright star,2.65,59418.228385,False,False,True
10,-14.901539841484091,251.35797759593973,-3.888648326327069,290.7992978966605,-26.201882226642102,89.93176295260191,BD-22 3401,bright star,2.65,59418.240885,False,False,True
11,-18.517734190603317,253.45760026370186,-3.148632788026528,290.92895181586744,-26.191840150108884,90.04054414717642,BD-22 3401,bright star,2.65,59418.253385,False,False,True
12,-22.173202495157717,255.52528044232355,-2.6496543911217936,291.058099109573,-26.179383459938872,90.1499559171775,BD-22 3401,bright star,2.65,59418.265885,False,False,True
13,-25.862735364756794,257.57591125375046,-2.2924389543414896,291.18716094453686,-26.16450869072627,90.26034513633167,BD-22 3401,bright star,2.65,59418.278385,False,False,True
14,-29.58145191317491,259.62570385023776,-2.0256842038420055,291.3165584313246,-26.14722625392533,90.37205194851828,BD-22 3401,bright star,2.65,59418.290885,False,False,True
15,-33.32468098171374,261.69289427593185,-1.8202244306823443,291.4467097472617,-26.127560346213826,90.4854074964771,BD-22 3401,bright star,2.65,59418.303385,False,False,True
16,-37.08782700344876,263.79872484338284,-1.6582688605288,291.57802729714376,-26.10554873937828,90.60073173199801,BD-22 3401,bright star,2.65,59418.315885,False,False,True
17,-40.866206821204706,265.968844353829,-1.5283628321482232,291.7109149182046,-26.081242456423507,90.71833130946774,BD-22 3401,bright star,2.65,59418.328385,False,False,True
18,-44.654835603582164,268.23536533151224,-1.4228107032712787,291.84576518116444,-26.054705336472065,90.83849760180145,BD-22 3401,bright star,2.65,59418.340885,False,False,True
19,-48.448124975277224,270.6399812760527,-1.336263341308367,291.9829568013039,-26.026013495593244,90.96150484632177,BD-22 3401,bright star,2.65,59418.353385,False,False,True
20,-52.23942868855124,273.23884720734134,-1.2648995624276913,292.12285217131006,-25.995254692022673,91.08760842554732,BD-22 3401,bright star,2.65,59418.365885,False,False,True
21,-56.02031688120067,276.1104929220252,-1.2059295920885171,292.26579506083243,-25.962527602498053,91.21704331595723,BD-22 3401,bright star,2.65,59418.378385,False,False,True
22,-59.779349211573546,279.36914331896367,-1.1572822424667344,292.41210848308987,-25.927941021391145,91.35002270023438,BD-22 3401,bright star,2.65,59418.390885,False,False,True
